Id,IntensidadeVentoKM,Temperatura,Radiac~ao,DirecaoVento,IntensidadeVento,Humidade,DataHoraObservacao,Local,Coordenadas
E1,2.5,23.2,133.2,NE,0.7,58.0,1010.5,2025-04-10T19:00,Terras de Bouro/Barral (CIM),"[-8.31808611,41.70225278]"
E2,15.1,12.5,679.6,E,0.0,4.2,99.0,-99.0,2025-04-10T19:00,Graciosa / Serra das Fontes (DROTRH),"[-28.0038,39.0672]"
E3,4.0,16.4,0.0,NE,0.0,1.1,96.0,1010.5,2025-04-10T19:00,"Olh~ao, EPPO","[-7.821,37.033]"
E4,3.6,16.8,1.6,SW,0.0,1.0,88.0,1012.2,2025-04-10T19:00,"Setubal, Areias","[-8.89066111,38.54846667]"
